15,Office Desk,Furniture,250.00,300,2025-01-18 15:10:00.000000
28,Microwave Oven,Home Appliances,200.00,234,2025-03-15 09:10:00.000000
13,Bookshelf 5-tier,Furniture,120.00,423,2025-06-01 09:40:00.000000
30,Vacuum Cleaner,Home Appliances,180.00,245,2025-05-30 11:20:00.000000
26,Coffee Maker,Home Appliances,75.00,523,2025-01-22 08:20:00.000000
29,Air Fryer,Home Appliances,150.00,342,2025-04-25 14:50:00.000000
38,VR Headset,Electronics,350.00,125,2025-03-22 15:15:00.000000
39,Digital Camera,Electronics,600.00,33,2025-04-05 09:30:00.000000
9,"4K Monitor 27""",Electronics,400.00,34,2025-02-10 08:50:00.000000
32,Sunglasses,Accessories,80.00,223,2025-02-08 15:25:00.000000
14,Coffee Table,Furniture,90.00,23,2025-07-15 11:50:00.000000
7,Bluetooth Headphones,Electronics,150.00,513,2025-07-08 16:40:00.000000
2,Wireless Mouse,Electronics,25.99,839,2025-02-05 12:30:00.000000
22,Women Blouse,Clothing,35.00,211,2025-02-16 10:30:00.000000
3,Gaming Keyboard,Electronics,75.50,612,2025-03-12 15:45:00.000000
35,Belt,Accessories,30.00,251,2025-05-19 16:00:00.000000
49,Hair Dryer,Home Appliances,35.00,185,2025-04-22 12:15:00.000000
40,Printer,Electronics,150.00,123,2025-05-14 11:45:00.000000
20,Flip Flops,Footwear,15.00,821,2025-06-25 12:10:00.000000
8,External SSD 1TB,Electronics,120.00,100,2025-01-25 13:30:00.000000
47,Rice Cooker,Home Appliances,65.00,85,2025-02-24 11:45:00.000000
24,Jacket,Clothing,90.00,150,2025-04-18 15:45:00.000000
11,Office Chair,Furniture,180.00,65,2025-04-12 10:25:00.000000
43,Stapler,Stationery,15.00,603,2025-03-27 16:35:00.000000
5,Smartphone X,Electronics,999.99,145,2025-05-20 14:20:00.000000
27,Blender,Home Appliances,55.00,99,2025-02-28 12:40:00.000000
41,Notebook,Stationery,5.00,704,2025-01-09 08:10:00.000000
46,Electric Kettle,Home Appliances,40.00,128,2025-01-16 10:20:00.000000
16,Running Shoes,Footwear,80.00,258,2025-02-22 10:05:00.000000
19,Sandals,Footwear,30.00,511,2025-05-11 09:55:00.000000
42,Pen Set,Stationery,12.00,1002,2025-02-18 13:20:00.000000
48,Toaster,Home Appliances,30.00,237,2025-03-18 15:00:00.000000
18,Sneakers,Footwear,65.00,403,2025-04-09 13:20:00.000000
34,Wallet,Accessories,45.00,149,2025-04-14 09:35:00.000000
12,Desk Lamp,Furniture,35.50,353,2025-05-07 14:00:00.000000
21,Men T-shirt,Clothing,25.00,438,2025-01-05 14:00:00.000000
25,Sweater,Clothing,60.00,291,2025-05-09 13:00:00.000000
44,Highlighter Set,Stationery,10.00,655,2025-04-12 09:50:00.000000
6,Tablet Plus,Electronics,650.00,148,2025-06-18 11:10:00.000000
17,Leather Boots,Footwear,150.00,52,2025-03-14 16:30:00.000000
37,Gaming Console,Electronics,500.00,107,2025-02-12 10:50:00.000000
10,Webcam HD,Electronics,60.00,289,2025-03-05 17:00:00.000000
45,Desk Organizer,Stationery,20.00,334,2025-05-21 14:05:00.000000
33,Backpack,Accessories,60.00,267,2025-03-02 12:50:00.000000
23,Jeans,Clothing,50.00,390,2025-03-20 11:15:00.000000
31,Wrist Watch,Accessories,120.00,108,2025-01-12 10:40:00.000000
50,Iron,Home Appliances,25.00,208,2025-05-29 09:40:00.000000
36,"Smart TV 50""",Electronics,700.00,40,2025-01-28 13:10:00.000000
4,USB-C Hub,Electronics,45.00,413,2025-04-01 09:15:00.000000
1,Laptop Pro 15,Electronics,1200.00,210,2025-01-10 10:00:00.000000
